HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP8"
                OPERATOR        "EF"
                CREATION_DATE   10-02-2021/04:29:01.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
        ELEMENTS (StnNo, StnID, Date, DryTemp, AtmPress, RefCoeff)
                411041795,      "TS2",  10-02-2021/04:29:02.0,  12.000000,     1013.250000,     0.130000;
        END ELEMENTS
END METEO
THEODOLITE
        INSTRUMENTS (Name, TheoNo, EDMNo, V_TYPE)
                "TS02power-7\"",        1311652,        0,      ZENITH;
        END INSTRUMENTS
        CONFIGS (CfgNo, InstrName, Date, AddConst)
                1,      "TS02power-7\"",        10-02-2021/05:09:33.0,  0.000000;
        END CONFIGS
        SETUP
                STN_NO  411041795
                STN_ID  "TS2"
                INST_HT 1.350000;
        END SETUP
        SLOPE (TgtNo, TgtID, CfgNo, Hz, Vz, SDist, RefHt, Date, Ppm, ApplType, Flags)
                411041797,      "101",  1,      289.291960,     88.492330,     46.190200,       2.695000,       10-02-2021/05:09:33.0,  0.000000,       107,   00001100;
                411041800,      "102",  1,      43.291040,      89.332970,     138.244600,      2.695000,       10-02-2021/05:12:51.0,  0.000000,       107,   00001100;
                411041801,      "103",  1,      43.332210,      89.445310,     138.370900,      2.695000,       10-02-2021/05:13:18.0,  0.000000,       107,   00001100;
                411041802,      "104",  1,      40.465780,      89.251730,     136.899800,      2.695000,       10-02-2021/05:13:46.0,  0.000000,       107,   00001100;
                411041803,      "105",  1,      40.503910,      89.315970,     137.021900,      2.695000,       10-02-2021/05:14:04.0,  0.000000,       107,   00001100;
                411041804,      "106",  1,      38.254910,      89.090060,     135.844600,      2.695000,       10-02-2021/05:14:23.0,  0.000000,       107,   00001100;
                411041805,      "107",  1,      38.254480,      89.214340,     135.916200,      2.695000,       10-02-2021/05:14:35.0,  0.000000,       107,   00001100;
                411041806,      "108",  1,      36.065560,      88.570310,     135.067600,      2.695000,       10-02-2021/05:15:00.0,  0.000000,       107,   00001100;
                411041807,      "109",  1,      36.111950,      89.112890,     134.914900,      2.695000,       10-02-2021/05:15:17.0,  0.000000,       107,   00001100;
                411041808,      "110",  1,      33.253560,      88.484460,     134.198400,      2.695000,       10-02-2021/05:15:34.0,  0.000000,       107,   00001100;
                411041809,      "111",  1,      33.280360,      88.575230,     133.961800,      2.695000,       10-02-2021/05:15:49.0,  0.000000,       107,   00001100;
                411041810,      "112",  1,      34.490450,      88.531040,     110.182200,      2.695000,       10-02-2021/05:16:24.0,  0.000000,       107,   00001100;
                411041811,      "113",  1,      34.533370,      89.113720,     110.126700,      2.695000,       10-02-2021/05:16:48.0,  0.000000,       107,   00001100;
                411041812,      "114",  1,      38.085420,      89.050790,     110.533900,      2.695000,       10-02-2021/05:17:17.0,  0.000000,       107,   00001100;
                411041813,      "115",  1,      38.090450,      89.160130,     110.548400,      2.695000,       10-02-2021/05:17:37.0,  0.000000,       107,   00001100;
                411041814,      "116",  1,      40.370870,      89.111800,     111.354800,      2.695000,       10-02-2021/05:18:09.0,  0.000000,       107,   00001100;
                411041815,      "117",  1,      40.391720,      89.245430,     111.451000,      2.695000,       10-02-2021/05:18:25.0,  0.000000,       107,   00001100;
