HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "E13"
                OPERATOR        "SW"
                CREATION_DATE   24-04-2022/06:43:56.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                192938153,      "263",  426684.000824,  7665406.458082, 334.812164,     "",     24-04-2022/09:43:44.0   ,       MEAS;
                192937988,      "101",  426690.000000,  7665303.000000, 339.000000,     "",     24-04-2022/07:07:40.0   ,       FIX;
                192937987,      "TS1",  426752.000000,  7665319.000000, 332.000000,     "",     24-04-2022/06:55:30.0   ,       FIX;
                THEMINFO (PointNo, PointID, Attribute, Value)
                END THEMINFO
                ANNOTATIONS (PointNo, PointID, Annotation)
                END ANNOTATIONS
        END POINTS
END DATABASE
METEO
        ELEMENTS (StnNo, StnID, Date, DryTemp, AtmPress, RefCoeff)
                192937987,      "TS1",  24-04-2022/06:43:58.0,  12.000000,     1013.250000,     0.130000;
        END ELEMENTS
END METEO
THEODOLITE
        INSTRUMENTS (Name, TheoNo, EDMNo, V_TYPE)
                "TS02power-7\"",        1310809,        0,      ZENITH;
        END INSTRUMENTS
        CONFIGS (CfgNo, InstrName, Date, AddConst)
                1,      "TS02power-7\"",        24-04-2022/07:07:40.0,  0.000000;
        END CONFIGS
        SETUP
                STN_NO  192937987
                STN_ID  "TS1"
                INST_HT 2.040000;
        END SETUP
        SLOPE (TgtNo, TgtID, CfgNo, Hz, Vz, SDist, RefHt, Date, Ppm, ApplType, Flags)
                192937989,      "101",  1,      154.564820,     90.105630,     64.102400,       2.040000,       24-04-2022/07:07:40.0,  0.000000,       107,   00001110;
                192937992,      "102",  1,      148.004480,     87.345520,     115.698300,      2.040000,       24-04-2022/07:13:09.0,  0.000000,       107,   00001110;
                192937993,      "103",  1,      148.001550,     87.392810,     115.709500,      2.040000,       24-04-2022/07:14:15.0,  0.000000,       107,   00001110;
                192937994,      "104",  1,      149.062620,     87.344000,     112.463000,      2.040000,       24-04-2022/07:15:27.0,  0.000000,       107,   00001110;
                192937995,      "105",  1,      149.065790,     87.365920,     112.473300,      2.040000,       24-04-2022/07:15:47.0,  0.000000,       107,   00001110;
                192937996,      "106",  1,      149.471780,     87.343050,     110.548800,      2.040000,       24-04-2022/07:16:40.0,  0.000000,       107,   00001110;
                192937997,      "107",  1,      149.465550,     87.365350,     110.556800,      2.040000,       24-04-2022/07:17:04.0,  0.000000,       107,   00001110;
                192937998,      "108",  1,      151.431900,     87.372340,     105.390400,      2.040000,       24-04-2022/07:18:02.0,  0.000000,       107,   00001110;
                192937999,      "109",  1,      151.440230,     87.384400,     105.380500,      2.040000,       24-04-2022/07:18:26.0,  0.000000,       107,   00001110;
                192938000,      "110",  1,      153.024590,     87.335960,     102.804600,      2.040000,       24-04-2022/07:19:25.0,  0.000000,       107,   00001110;
                192938001,      "111",  1,      153.023620,     87.354750,     102.786200,      2.040000,       24-04-2022/07:19:45.0,  0.000000,       107,   00001110;
                192938002,      "112",  1,      135.115740,     90.003130,     103.850900,      2.040000,       24-04-2022/07:23:13.0,  0.000000,       107,   00001110;
                192938003,      "113",  1,      135.113720,     90.013900,     103.838700,      2.040000,       24-04-2022/07:23:34.0,  0.000000,       107,   00001110;
                192938004,      "114",  1,      136.455250,     90.031420,     100.433300,      2.040000,       24-04-2022/07:24:03.0,  0.000000,       107,   00001110;
                192938005,      "115",  1,      136.455080,     90.042980,     100.421100,      2.040000,       24-04-2022/07:24:14.0,  0.000000,       107,   00001110;
                192938006,      "116",  1,      139.021130,     90.201300,     96.105800,       2.040000,       24-04-2022/07:24:45.0,  0.000000,       107,   00001110;
                192938007,      "117",  1,      139.010400,     90.213810,     96.070200,       2.040000,       24-04-2022/07:25:09.0,  0.000000,       107,   00001110;
                192938008,      "118",  1,      141.142500,     90.144990,     91.482600,       2.040000,       24-04-2022/07:26:03.0,  0.000000,       107,   00001110;
                192938009,      "119",  1,      141.135550,     90.175930,     91.496900,       2.040000,       24-04-2022/07:26:15.0,  0.000000,       107,   00001110;
                192938010,      "120",  1,      142.574400,     90.163260,     87.175800,       2.040000,       24-04-2022/07:26:45.0,  0.000000,       107,   00001110;
                192938011,      "121",  1,      142.561650,     90.185570,     87.083500,       2.040000,       24-04-2022/07:27:01.0,  0.000000,       107,   00001110;
                192938012,      "122",  1,      123.112550,     90.235890,     95.904200,       2.040000,       24-04-2022/07:28:54.0,  0.000000,       107,   00001110;
                192938013,      "123",  1,      123.110440,     90.260770,     95.894700,       2.040000,       24-04-2022/07:29:08.0,  0.000000,       107,   00001110;
                192938014,      "124",  1,      123.281620,     90.112040,     91.766300,       2.040000,       24-04-2022/07:29:39.0,  0.000000,       107,   00001110;
                192938015,      "125",  1,      123.290760,     90.120650,     91.683000,       2.040000,       24-04-2022/07:29:56.0,  0.000000,       107,   00001110;
                192938016,      "126",  1,      124.323590,     89.592930,     85.862600,       2.040000,       24-04-2022/07:30:28.0,  0.000000,       107,   00001110;
                192938017,      "127",  1,      124.320540,     90.034400,     85.837300,       2.040000,       24-04-2022/07:30:43.0,  0.000000,       107,   00001110;
                192938018,      "128",  1,      126.190560,     90.050590,     78.107500,       2.040000,       24-04-2022/07:32:15.0,  0.000000,       107,   00001110;
                192938019,      "129",  1,      126.180140,     90.063380,     78.044800,       2.040000,       24-04-2022/07:32:27.0,  0.000000,       107,   00001110;
                192938020,      "130",  1,      126.590970,     90.095450,     70.734600,       2.040000,       24-04-2022/07:32:49.0,  0.000000,       107,   00001110;
                192938021,      "131",  1,      126.590780,     90.124580,     70.741200,       2.040000,       24-04-2022/07:32:59.0,  0.000000,       107,   00001110;
                192938022,      "132",  1,      107.515220,     90.084200,     93.985800,       2.040000,       24-04-2022/07:34:30.0,  0.000000,       107,   00001110;
                192938023,      "133",  1,      107.513300,     90.104310,     93.976600,       2.040000,       24-04-2022/07:34:48.0,  0.000000,       107,   00001110;
