HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP12"
                OPERATOR        "EF"
                CREATION_DATE   06-07-2022/08:09:22.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                444596361,      "231",  427307.074447,  7663120.640194, 349.881350,     "",     06-07-2022/10:29:15.0   ,       MEAS;
                444596362,      "232",  427281.479720,  7663122.741045, 350.872995,     "",     06-07-2022/10:30:58.0   ,       MEAS;
                444596363,      "233",  427281.495138,  7663122.757736, 350.518947,     "",     06-07-2022/10:31:08.0   ,       MEAS;
                444596364,      "234",  427281.739331,  7663124.214635, 350.763373,     "",     06-07-2022/10:31:22.0   ,       MEAS;
                444596365,      "235",  427281.757258,  7663124.239348, 350.532735,     "",     06-07-2022/10:31:31.0   ,       MEAS;
                444596366,      "236",  427283.702822,  7663135.664213, 350.608691,     "",     06-07-2022/10:31:52.0   ,       MEAS;
                444596367,      "237",  427283.747937,  7663135.672616, 350.094778,     "",     06-07-2022/10:32:04.0   ,       MEAS;
                444596368,      "238",  427284.710987,  7663146.488701, 350.343314,     "",     06-07-2022/10:32:28.0   ,       MEAS;
                444596369,      "239",  427284.635662,  7663146.488383, 349.986507,     "",     06-07-2022/10:32:40.0   ,       MEAS;
                444596370,      "240",  427284.438125,  7663149.968641, 349.595508,     "",     06-07-2022/10:32:58.0   ,       MEAS;
                444596371,      "241",  427284.447709,  7663150.039363, 349.146422,     "",     06-07-2022/10:33:09.0   ,       MEAS;
                444596372,      "242",  427260.827876,  7663146.905920, 350.855177,     "",     06-07-2022/10:35:50.0   ,       MEAS;
                444596373,      "243",  427260.865851,  7663146.829430, 350.300634,     "",     06-07-2022/10:36:02.0   ,       MEAS;
                444596374,      "244",  427395.558225,  7663209.275398, 345.452244,     "",     06-07-2022/10:40:55.0   ,       MEAS;
                444596375,      "245",  427395.463873,  7663209.498671, 345.309577,     "",     06-07-2022/10:41:09.0   ,       MEAS;
                444596376,      "246",  427388.334278,  7663206.713334, 346.528604,     "",     06-07-2022/10:42:19.0   ,       MEAS;
                444596377,      "247",  427388.514922,  7663206.483981, 346.094128,     "",     06-07-2022/10:44:26.0   ,       MEAS;
                444596378,      "248",  427257.006340,  7663124.146826, 351.809874,     "",     06-07-2022/10:47:41.0   ,       MEAS;
                444596379,      "249",  427257.054251,  7663124.268801, 351.589737,     "",     06-07-2022/10:47:57.0   ,       MEAS;
                444596380,      "250",  427257.254933,  7663123.411986, 351.859690,     "",     06-07-2022/10:48:44.0   ,       MEAS;
                444596381,      "251",  427258.697154,  7663122.854792, 351.575626,     "",     06-07-2022/10:49:41.0   ,       MEAS;
                444596382,      "252",  427232.798918,  7663124.826317, 352.642983,     "",     06-07-2022/10:50:21.0   ,       MEAS;
                444596383,      "253",  427232.903818,  7663124.884135, 352.339775,     "",     06-07-2022/10:50:31.0   ,       MEAS;
                444596384,      "254",  427232.946549,  7663125.297900, 352.663629,     "",     06-07-2022/10:51:14.0   ,       MEAS;
                444596385,      "255",  427233.206089,  7663125.403282, 352.363140,     "",     06-07-2022/10:51:24.0   ,       MEAS;
                444596386,      "256",  427233.330986,  7663136.752825, 352.238520,     "",     06-07-2022/10:51:42.0   ,       MEAS;
                444596387,      "257",  427233.338654,  7663136.783339, 351.964927,     "",     06-07-2022/10:51:58.0   ,       MEAS;
                444596388,      "258",  427233.047789,  7663144.311631, 351.470863,     "",     06-07-2022/10:53:02.0   ,       MEAS;
                444596389,      "259",  427233.103860,  7663144.339322, 351.053004,     "",     06-07-2022/10:53:14.0   ,       MEAS;
                444596390,      "260",  427232.789560,  7663146.066674, 351.565028,     "",     06-07-2022/10:53:28.0   ,       MEAS;
                444596391,      "261",  427232.853053,  7663146.157809, 350.920583,     "",     06-07-2022/10:53:48.0   ,       MEAS;
                444596392,      "262",  427324.332956,  7663153.581535, 350.045056,     "",     06-07-2022/10:59:39.0   ,       MEAS;
                444596228,      "101",  427357.000000,  7663217.000000, 350.000000,     "",     06-07-2022/09:08:46.0   ,       FIX;
                444596227,      "TS1",  427326.000000,  7663164.000000, 350.000000,     "",     06-07-2022/08:12:39.0   ,       FIX;
                THEMINFO (PointNo, PointID, Attribute, Value)
                END THEMINFO
                ANNOTATIONS (PointNo, PointID, Annotation)
                END ANNOTATIONS
        END POINTS
END DATABASE
METEO
        ELEMENTS (StnNo, StnID, Date, DryTemp, AtmPress, RefCoeff)
                444596227,      "TS1",  06-07-2022/08:09:24.0,  12.000000,     1013.250000,     0.130000;
        END ELEMENTS
END METEO
THEODOLITE
        INSTRUMENTS (Name, TheoNo, EDMNo, V_TYPE)
                "TS02power-7\"",        1310809,        0,      ZENITH;
        END INSTRUMENTS
        CONFIGS (CfgNo, InstrName, Date, AddConst)
                1,      "TS02power-7\"",        06-07-2022/09:08:46.0,  0.000000;
        END CONFIGS
        SETUP
                STN_NO  444596227
                STN_ID  "TS1"
                INST_HT 1.500000;
        END SETUP
